জমি নং,মৌসুম,অঞ্চল,ফসল,লক্ষ্যমাত্রা ফলন (কেজি/শতাংশ),ইউরিয়া (গ্রাম/শতাংশ),টিএসপি/ডিএপি (গ্রাম/শতাংশ),এমওপি (গ্রাম/শতাংশ),জিপসাম (গ্রাম/শতাংশ),ম্যাগনেসিয়াম সালফেট (গ্রাম/শতাংশ),জিঙ্ক সালফেট (হেপ্টা হাইড্রেট) (গ্রাম/শতাংশ),বোরিক এসিড (গ্রাম/শতাংশ),জৈবসার (কেজি/শতাংশ)
১৪,খরিফ-২,পঞ্চগড়,লাউ,২৪০,৮৭৯,৩২৯,৩১৬,২৭২,৪২৫,৩৯,২৪,২০
১৪,খরিফ-২,দিনাজপুর উত্তর,লাউ,২৪০,৮৭৯,৩২৯,৩১৬,২৭২,৪২৫,৩৯,২৪,২০
১৪,খরিফ-২,দিনাজপুর পশ্চিম,লাউ,২৪০,৮৭৯,৩২৯,৩১৬,২৭২,৪২৫,৩৯,২৪,২০
১৪,খরিফ-২,ঠাকুরগাঁও,করলা,১০০,৬৫৯,৩৬৮,৪৭৪,২০৪,৩৪০,৩৯,২৪,২০
১৪,খরিফ-২,পঞ্চগড়,করলা,১০০,৬৫৯,৩৬৮,৪৭৪,২০৪,৩৪০,৩৯,২৪,২০
১৪,খরিফ-২,দিনাজপুর উত্তর,করলা,১০০,৬৫৯,৩৬৮,৪৭৪,২০৪,৩৪০,৩৯,২৪,২০
১৪,খরিফ-২,দিনাজপুর পশ্চিম,করলা,১০০,৬৫৯,৩৬৮,৪৭৪,২০৪,৩৪০,৩৯,২৪,২০
১৪,খরিফ-২,ঠাকুরগাঁও,পটল,১০০,৭৯১,২৩৭,২১১,২০৪,৩৪০,৩৯,২৪,২০
১৪,খরিফ-২,পঞ্চগড়,পটল,১০০,৭৯১,২৩৭,২১১,২০৪,৩৪০,৩৯,২৪,২০
১৪,খরিফ-২,দিনাজপুর উত্তর,পটল,১০০,৭৯১,২৩৭,২১১,২০৪,৩৪০,৩৯,২৪,২০
১৪,খরিফ-২,দিনাজপুর পশ্চিম,পটল,১০০,৭৯১,২৩৭,২১১,২০৪,৩৪০,৩৯,২৪,২০
১৪,খরিফ-২,ঠাকুরগাঁও,শসা,১০০,৬৫৯,২৩৭,২৩৭,২০৪,০,৩৯,২৪,২৮
১৪,খরিফ-২,পঞ্চগড়,শসা,১০০,৬৫৯,২৩৭,২৩৭,২০৪,০,৩৯,২৪,২৮
১৪,খরিফ-২,দিনাজপুর উত্তর,শসা,১০০,৬৫৯,২৩৭,২৩৭,২০৪,০,৩৯,২৪,২৮
১৪,খরিফ-২,দিনাজপুর পশ্চিম,শসা,১০০,৬৫৯,২৩৭,২৩৭,২০৪,০,৩৯,২৪,২৮
